iter	Logloss
0	0.6812922085
1	0.6677934657
2	0.6577936816
3	0.6450488304
4	0.6337580631
5	0.6249321765
6	0.6157236383
7	0.6055006971
8	0.5976038613
9	0.590058951
10	0.5812660269
11	0.5735438354
12	0.5659957541
13	0.5597715974
14	0.5542880604
15	0.5479765519
16	0.5410073896
17	0.5351141975
18	0.5292608339
19	0.5228573801
20	0.518897589
21	0.5127471366
22	0.5089083579
23	0.5044158262
24	0.4988052771
25	0.4949358854
26	0.4910972599
27	0.4863660877
28	0.4823312582
29	0.4792875758
30	0.4756213959
31	0.4727297994
32	0.4695455665
33	0.4655895934
34	0.4625771973
35	0.4599766306
36	0.4571503745
37	0.4547564062
38	0.4523368209
39	0.4501841059
40	0.4481702901
41	0.4462216938
42	0.4441314721
43	0.4422247702
44	0.4404590716
45	0.4386440764
46	0.4369464406
47	0.434626154
48	0.432432721
49	0.4308314362
50	0.4295804198
51	0.4284221328
52	0.4268560118
53	0.424758125
54	0.4235259266
55	0.4226597738
56	0.4210870159
57	0.4194463288
58	0.4181637704
59	0.4170722689
60	0.4157021966
61	0.4143409513
62	0.4131557802
63	0.4123837648
64	0.4109656761
65	0.4099024558
66	0.4092254201
67	0.4083949269
68	0.4075577029
69	0.4064846566
70	0.4056671707
71	0.4052441369
72	0.4047004124
73	0.4042474928
74	0.4029958782
75	0.4025008723
76	0.4015103663
77	0.4006073297
78	0.3999829835
79	0.3994013824
80	0.3986386636
81	0.3980036171
82	0.3976021614
83	0.3971523328
84	0.3965979678
85	0.3960089911
86	0.3950300989
87	0.3942908737
88	0.3938765875
89	0.3937790838
90	0.3931175562
91	0.3922261201
92	0.3918473738
93	0.3913349637
94	0.390955742
95	0.3906391676
96	0.3899773342
97	0.3893202102
98	0.3887956852
99	0.388338329
100	0.3877983783
101	0.3873597243
102	0.3869273471
103	0.3863452632
104	0.386069795
105	0.3856512809
106	0.3852541337
107	0.3848535064
108	0.3845431931
109	0.3841139563
110	0.3837855052
111	0.3834688293
112	0.3832488384
113	0.3830294334
114	0.3826575731
115	0.382387112
116	0.3819921145
117	0.3817720695
118	0.3813687189
119	0.3812214028
120	0.3808121463
121	0.3805772026
122	0.3802622307
123	0.3799147908
124	0.3796443342
125	0.3791506442
126	0.3786392131
127	0.3785044651
128	0.3780748249
129	0.3777644478
130	0.3775142263
131	0.3771364519
132	0.3769183595
133	0.3764391163
134	0.3760936796
135	0.3757823457
136	0.375543247
137	0.3753122094
138	0.3751177879
139	0.3747377368
140	0.374173707
141	0.3739490427
142	0.3736993775
143	0.3733958357
144	0.373287987
145	0.3728020538
146	0.3725635013
