Feature,Importance
Fare,21.305796955445164
Age,16.328655251644182
Title_Mr,13.408111069894412
WomanChild,13.34958852310223
Pclass,10.188731748335949
TicketGroupSize,6.344936555654964
FamilySizeGroup,4.189335265146746
CabinKnown,3.851359437271967
Sex_male,3.5285158393285125
Embarked_S,2.9927850151599222
Title_Mrs,1.7141937894087207
Title_Miss,1.616697437691798
Embarked_Q,0.6961531530255608
Title_Professional,0.3436243405007533
Title_Officer,0.08432550345517245
Title_Royalty,0.057190114933941556
